repository,commit_time,author,isOwner
linux,2018-02-23T23:04:24Z,Linus Torvalds,False
linux,2018-02-23T23:01:01Z,Linus Torvalds,False
linux,2018-02-23T22:59:29Z,Linus Torvalds,False
linux,2018-02-23T22:57:20Z,Linus Torvalds,False
linux,2018-02-23T22:41:14Z,Linus Torvalds,False
linux,2018-02-23T22:09:43Z,Linus Torvalds,False
linux,2018-02-13T20:40:40Z,Markus Mayer,False
linux,2018-02-13T20:40:39Z,Markus Mayer,False
linux,2018-02-13T20:40:38Z,Markus Mayer,False
linux,2018-02-23T18:31:31Z,Linus Torvalds,False
linux,2018-02-23T18:06:16Z,Paolo Bonzini,False
linux,2018-02-23T18:02:57Z,Paolo Bonzini,False
linux,2018-02-23T03:45:27Z,Eric Dumazet,False
linux,2018-02-23T17:34:18Z,David S. Miller,False
linux,2018-02-22T19:05:33Z,Andy Spencer,False
linux,2018-02-22T15:55:34Z,Arnd Bergmann,False
linux,2018-02-22T15:20:30Z,Alexey Kodanev,False
linux,2018-02-05T13:28:01Z,Pratyush Anand,False
linux,2018-02-03T19:11:23Z,Ilia Mirkin,False
linux,2018-02-22T15:18:13Z,Anna Karbownik,False
linux,2018-02-21T20:50:36Z,Samuel Neves,False
linux,2018-02-22T08:48:12Z,Dou Liyang,False
linux,2018-02-22T09:24:48Z,Andrea Parri,False
linux,2018-02-22T09:24:29Z,Andrea Parri,False
linux,2018-02-22T15:43:18Z,Paolo Bonzini,False
linux,2018-02-22T15:43:17Z,Paolo Bonzini,False
linux,2018-02-23T03:26:03Z,Wang Hui,False
linux,2018-02-22T11:08:06Z,Thomas Gleixner,False
linux,2018-02-22T13:00:11Z,Michael Ellerman,False
linux,2018-02-22T12:58:49Z,Michael Ellerman,False
linux,2018-02-21T10:36:26Z,Bharata B Rao,False
linux,2018-02-22T22:52:19Z,Ben Crocker,False
linux,2018-02-13T01:26:20Z,Randy Dunlap,False
linux,2018-02-23T03:55:46Z,James Morris,False
linux,2018-02-23T01:11:57Z,Dave Airlie,False
linux,2018-02-23T00:59:26Z,Kees Cook,False
linux,2018-02-23T01:04:06Z,Linus Torvalds,False
linux,2018-02-23T00:38:10Z,Linus Torvalds,False
linux,2018-02-23T00:03:43Z,Daniel Borkmann,False
linux,2018-02-22T14:12:53Z,Daniel Borkmann,False
linux,2018-02-22T11:22:20Z,Miles Chen,False
linux,2018-02-22T22:41:25Z,Darrick J. Wong,False
linux,2018-02-22T22:41:25Z,Eric Sandeen,False
linux,2017-12-15T12:46:28Z,Mathieu Malaterre,False
linux,2018-02-22T11:08:05Z,Thomas Gleixner,False
linux,2018-02-12T21:18:38Z,Randy Dunlap,False
linux,2018-02-22T14:38:14Z,David Howells,False
linux,2018-02-22T09:11:55Z,Dan Carpenter,False
linux,2018-02-22T18:10:35Z,Yonghong Song,False
linux,2018-02-22T16:33:24Z,Eric Dumazet,False
linux,2018-02-22T20:17:01Z,David S. Miller,False
linux,2018-02-22T20:13:01Z,Linus Torvalds,False
linux,2018-02-22T20:05:43Z,Linus Torvalds,False
linux,2018-02-22T20:04:05Z,Linus Torvalds,False
linux,2018-02-22T19:55:28Z,Johannes Berg,False
linux,2018-02-22T19:57:39Z,Linus Torvalds,False
linux,2018-02-22T19:53:17Z,Linus Torvalds,False
linux,2018-02-22T00:18:30Z,Thomas Falcon,False
linux,2018-02-21T22:24:59Z,Finn Thain,False
linux,2018-02-21T19:00:54Z,David Ahern,False
linux,2018-02-21T14:43:03Z,Eric Dumazet,False
linux,2018-02-21T05:42:26Z,Eric Dumazet,False
linux,2018-02-21T03:41:59Z,Jason A. Donenfeld,False
linux,2018-02-22T18:50:24Z,James Morris,False
linux,2018-02-22T18:45:46Z,Linus Torvalds,False
linux,2018-02-22T17:15:06Z,"Luck, Tony",False
linux,2018-02-22T17:41:40Z,Kees Cook,False
linux,2018-02-14T09:15:12Z,Michal Hocko,False
linux,2018-02-07T11:27:54Z,Colin Ian King,False
linux,2018-02-21T18:46:43Z,Bill.Baker@oracle.com,False
linux,2018-02-07T22:20:09Z,H.J. Lu,False
linux,2018-02-21T12:18:49Z,Arnd Bergmann,False
linux,2018-02-22T16:47:09Z,Arnd Bergmann,False
linux,2018-02-22T16:46:40Z,Arnd Bergmann,False
linux,2018-02-22T16:45:52Z,Arnd Bergmann,False
linux,2018-02-22T16:44:19Z,Arnd Bergmann,False
linux,2018-02-20T16:24:52Z,Arnd Bergmann,False
linux,2018-02-20T16:24:50Z,Arnd Bergmann,False
linux,2018-02-22T16:40:14Z,Arnd Bergmann,False
linux,2017-12-15T12:46:48Z,Mathieu Malaterre,False
linux,2017-12-14T16:53:52Z,Mathieu Malaterre,False
linux,2018-02-22T16:37:01Z,Arnd Bergmann,False
linux,2018-02-01T21:32:40Z,Rob Herring,False
linux,2018-02-16T10:03:01Z,Alexandre Belloni,False
linux,2018-02-22T14:38:34Z,David Howells,False
linux,2018-02-22T14:38:34Z,Eric Biggers,False
linux,2018-02-22T14:38:33Z,Eric Biggers,False
linux,2018-02-22T14:38:33Z,Eric Biggers,False
linux,2018-02-22T14:38:33Z,Eric Biggers,False
linux,2018-02-22T14:38:33Z,Eric Biggers,False
linux,2018-02-22T02:34:02Z,Li Zhijian,False
linux,2018-02-21T12:59:27Z,Will Deacon,False
linux,2018-02-17T20:58:43Z,Andy Shevchenko,False
linux,2018-01-26T20:19:26Z,Patryk Kocielnik,False
linux,2018-02-08T13:54:05Z,Eric Anholt,False
linux,2018-02-20T16:33:45Z,Takashi Iwai,False
linux,2018-02-22T09:54:55Z,Ingo Molnar,False
linux,2018-02-20T19:49:20Z,Mark Lord,False
linux,2018-02-13T20:02:53Z,Michael Bringmann,False
linux,2018-02-21T11:54:37Z,Michael Ellerman,False
linux,2018-01-07T13:49:05Z,Stefan Agner,False
linux,2018-02-21T02:47:47Z,Tycho Andersen,False
linux,2018-02-21T02:47:46Z,Tycho Andersen,False
linux,2018-02-21T02:47:45Z,Tycho Andersen,False
linux,2018-02-21T21:30:01Z,Anders Roxell,False
linux,2018-02-21T16:51:16Z,Anders Roxell,False
linux,2018-02-20T22:07:33Z,Arnd Bergmann,False
linux,2018-02-21T22:46:09Z,Juergen Gross,False
linux,2018-02-21T22:46:05Z,Anders Roxell,False
linux,2018-02-21T22:46:01Z,Michal Hocko,False
linux,2018-02-21T22:45:58Z,Anders Roxell,False
linux,2018-02-21T22:45:54Z,Arnd Bergmann,False
linux,2018-02-21T22:45:50Z,Mike Rapoport,False
linux,2018-02-21T22:45:46Z,Mike Rapoport,False
linux,2018-02-21T22:45:43Z,Rasmus Villemoes,False
linux,2018-02-21T22:45:39Z,Huang Ying,False
linux,2018-02-21T22:45:35Z,Andi Kleen,False
linux,2018-02-21T22:45:32Z,David Rientjes,False
linux,2018-02-21T22:45:28Z,Shakeel Butt,False
linux,2018-02-21T22:45:24Z,Johannes Weiner,False
linux,2018-02-21T22:45:20Z,Arnd Bergmann,False
linux,2018-02-21T22:45:17Z,Andrew Morton,False
linux,2018-02-21T22:45:12Z,Martin Kelly,False
linux,2018-02-21T22:39:26Z,Dave Airlie,False
linux,2018-02-21T21:35:50Z,Trond Myklebust,False
linux,2018-02-20T21:22:05Z,Tom Lendacky,False
linux,2018-02-21T20:37:37Z,David S. Miller,False
linux,2018-02-21T20:09:30Z,David S. Miller,False
linux,2018-02-20T13:32:20Z,Jesper Dangaard Brouer,False
linux,2018-02-20T13:32:15Z,Jesper Dangaard Brouer,False
linux,2018-02-20T13:32:10Z,Jesper Dangaard Brouer,False
linux,2018-02-20T13:32:04Z,Jesper Dangaard Brouer,False
linux,2018-02-21T19:57:35Z,David S. Miller,False
linux,2018-02-21T19:49:55Z,David S. Miller,False
linux,2018-02-21T08:25:01Z,Leon Romanovsky,False
linux,2018-02-20T13:09:11Z,Arnd Bergmann,False
linux,2018-02-20T09:10:36Z,Artur Paszkiewicz,False
linux,2018-02-06T08:46:13Z,Peter Zijlstra,False
linux,2018-02-21T02:42:14Z,Josh Poimboeuf,False
linux,2018-02-20T17:37:53Z,Josh Poimboeuf,False
linux,2018-02-20T17:37:52Z,Josh Poimboeuf,False
linux,2018-02-20T17:37:51Z,Josh Poimboeuf,False
linux,2018-02-20T21:01:13Z,Dominik Brodowski,False
linux,2018-02-20T21:01:12Z,Dominik Brodowski,False
linux,2018-02-20T21:01:11Z,Dominik Brodowski,False
linux,2018-02-20T21:01:10Z,Dominik Brodowski,False
linux,2018-02-20T21:01:09Z,Dominik Brodowski,False
linux,2018-02-20T21:01:08Z,Dominik Brodowski,False
linux,2018-02-21T08:20:37Z,Ingo Molnar,False
linux,2018-02-20T22:55:46Z,Stefan Agner,False
linux,2018-02-20T18:45:56Z,Andrea Parri,False
linux,2018-02-20T20:58:21Z,Arnd Bergmann,False
linux,2018-02-16T09:24:29Z,Jarkko Nikula,False
linux,2018-02-14T15:29:52Z,Ben Gardner,False
linux,2018-01-31T09:18:28Z,Peter Zijlstra,False
linux,2018-01-16T09:24:06Z,Peter Zijlstra,False
linux,2018-01-16T16:16:32Z,Peter Zijlstra,False
linux,2018-01-23T15:18:50Z,Peter Zijlstra,False
linux,2018-01-16T09:38:09Z,Peter Zijlstra,False
linux,2018-01-17T15:58:11Z,Peter Zijlstra,False
linux,2018-01-17T21:34:34Z,Peter Zijlstra,False
linux,2018-02-20T15:01:36Z,Peter Zijlstra,False
linux,2018-02-20T14:20:08Z,Jani Nikula,False
linux,2018-02-19T20:32:51Z,Roman Kapl,False
linux,2018-02-19T17:59:38Z,Philipp Zabel,False
linux,2018-02-19T17:59:37Z,Philipp Zabel,False
linux,2018-02-19T17:59:36Z,Philipp Zabel,False
linux,2018-02-16T13:01:18Z,Frederic Barrat,False
linux,2018-02-15T18:49:51Z,Juan J. Alvarez,False
linux,2018-02-20T21:09:15Z,Dave Airlie,False
linux,2018-02-20T21:08:22Z,Dave Airlie,False
linux,2018-02-06T08:52:19Z,Vlad Buslov,False
linux,2018-01-31T07:36:29Z,Eugenia Emantayev,False
linux,2018-02-11T11:26:06Z,Or Gerlitz,False
linux,2018-02-02T15:32:53Z,Daniel Jurgens,False
linux,2018-01-25T16:00:41Z,Gal Pressman,False
linux,2018-01-30T11:16:58Z,Or Gerlitz,False
linux,2018-01-01T13:29:53Z,Or Gerlitz,False
linux,2018-01-01T13:19:51Z,Or Gerlitz,False
linux,2018-01-25T09:18:09Z,Eran Ben Elisha,False
linux,2017-12-07T15:26:33Z,Inbar Karmy,False
linux,2017-12-20T06:48:24Z,Gal Pressman,False
linux,2018-02-07T11:46:43Z,David Hildenbrand,False
linux,2018-02-07T11:46:45Z,David Hildenbrand,False
linux,2018-02-07T11:46:44Z,David Hildenbrand,False
linux,2018-02-07T11:46:42Z,David Hildenbrand,False
linux,2018-01-30T16:46:16Z,Hersen Wu,False
linux,2018-02-03T20:19:20Z,Mikita Lipski,False
linux,2018-01-19T16:21:04Z,Mikita Lipski,False
linux,2018-02-20T01:00:07Z,Jeremy Cline,False
linux,2018-02-15T13:40:30Z,Alex Deucher,False
linux,2018-02-13T19:26:54Z,Alex Deucher,False
linux,2018-02-13T19:25:11Z,Alex Deucher,False
linux,2018-02-20T02:12:57Z,Thomas Falcon,False
linux,2018-02-15T20:30:29Z,Michael Clark,False
linux,2018-01-30T07:51:45Z,zongbox@gmail.com,False
linux,2018-02-20T18:51:19Z,Palmer Dabbelt,False
linux,2018-02-05T01:21:18Z,Ulf Magnusson,False
linux,2018-02-08T22:54:46Z,Ulf Magnusson,False
linux,2018-02-05T01:21:19Z,Ulf Magnusson,False
linux,2018-02-20T18:05:02Z,Linus Torvalds,False
linux,2018-02-16T05:20:13Z,Selvin Xavier,False
linux,2018-02-16T05:20:12Z,Selvin Xavier,False
linux,2018-02-16T05:20:11Z,Selvin Xavier,False
linux,2018-02-16T05:20:10Z,Devesh Sharma,False
linux,2018-02-16T05:20:08Z,Devesh Sharma,False
linux,2018-02-20T15:44:37Z,James Hogan,False
linux,2018-02-20T13:31:35Z,Bin Liu,False
linux,2018-02-20T13:30:10Z,Andreas Kemnade,False
linux,2018-02-14T17:21:57Z,Mark Rutland,False
linux,2017-10-09T16:09:05Z,Mark Rutland,False
linux,2017-12-12T16:56:06Z,Mark Rutland,False
linux,2018-02-05T16:42:00Z,Mark Rutland,False
linux,2018-02-05T16:41:59Z,Mark Rutland,False
linux,2018-02-05T16:41:58Z,Mark Rutland,False
linux,2018-02-05T16:41:57Z,Mark Rutland,False
linux,2018-02-05T16:41:56Z,Mark Rutland,False
linux,2018-02-05T16:41:55Z,Mark Rutland,False
linux,2018-02-19T10:50:57Z,David Woodhouse,False
linux,2018-02-15T10:19:36Z,Neil Armstrong,False
linux,2018-02-20T09:03:22Z,Greg Kroah-Hartman,False
linux,2018-02-19T10:50:54Z,David Woodhouse,False
linux,2018-02-19T10:50:56Z,David Woodhouse,False
linux,2018-02-19T15:06:14Z,Jan Beulich,False
linux,2018-02-19T14:52:10Z,Jan Beulich,False
linux,2018-02-19T14:50:23Z,Jan Beulich,False
linux,2018-02-19T14:49:12Z,Jan Beulich,False
linux,2018-02-19T17:50:39Z,Jann Horn,False
linux,2018-02-19T14:48:11Z,Jan Beulich,False
linux,2018-02-19T11:35:43Z,Chris Wilson,False
linux,2018-02-18T09:05:16Z,Tomas Winkler,False
linux,2018-02-18T09:05:15Z,Alexander Usyskin,False
linux,2018-02-20T07:57:23Z,Greg Kroah-Hartman,False
linux,2018-02-20T07:39:51Z,KarimAllah Ahmed,False
linux,2018-02-14T17:23:56Z,Sylwester Nawrocki,False
linux,2018-02-15T08:23:15Z,Corentin Labbe,False
linux,2018-02-08T17:42:51Z,Markus Elfring,False
linux,2018-02-05T20:09:59Z,Wolfram Sang,False
linux,2018-01-17T17:01:21Z,Arnd Bergmann,False
linux,2018-02-19T19:58:19Z,Linus Torvalds,False
linux,2018-02-18T20:11:25Z,Jacek Anaszewski,False
linux,2018-02-19T06:57:04Z,Prashant Sreedharan,False
linux,2018-02-06T09:39:15Z,Yufen Yu,False
linux,2018-02-02T22:19:30Z,NeilBrown,False
linux,2018-02-17T03:36:28Z,Eric Dumazet,False
linux,2018-02-19T16:46:57Z,Will Deacon,False
linux,2018-02-01T22:13:36Z,Michael Weiser,False
linux,2018-02-01T22:13:38Z,Michael Weiser,False
linux,2018-02-19T14:41:44Z,Will Deacon,False
linux,2018-02-16T23:30:44Z,Ido Schimmel,False
linux,2018-02-19T16:17:34Z,David S. Miller,False
linux,2018-02-16T22:56:39Z,Subash Abhinov Kasiviswanathan,False
linux,2018-02-16T22:56:38Z,Subash Abhinov Kasiviswanathan,False
linux,2018-02-16T22:56:37Z,Subash Abhinov Kasiviswanathan,False
linux,2018-02-18T08:53:59Z,Kai-Heng Feng,False
linux,2018-02-13T17:35:36Z,Jan Luebbe,False
linux,2018-01-25T09:37:52Z,Philipp Zabel,False
linux,2018-02-15T14:35:30Z,Tobias Jordan,False
linux,2018-02-15T14:34:55Z,Tobias Jordan,False
linux,2018-02-19T13:38:00Z,Robin Murphy,False
linux,2018-02-19T12:48:43Z,Ilan Peer,False
linux,2018-02-19T12:48:42Z,Ilan Peer,False
linux,2018-02-19T12:48:38Z,Avraham Stern,False
linux,2018-02-19T12:48:37Z,Sara Sharon,False
linux,2018-02-19T12:48:35Z,Sara Sharon,False
linux,2018-02-10T12:20:34Z,Felix Fietkau,False
linux,2018-02-19T06:39:54Z,Bhupesh Sharma,False
linux,2018-01-24T07:40:51Z,Johannes Berg,False
linux,2018-02-02T15:31:23Z,Arnd Bergmann,False
linux,2018-02-13T14:15:27Z,Geert Uytterhoeven,False
linux,2018-02-19T01:29:42Z,Linus Torvalds,False
linux,2018-02-18T20:56:41Z,Linus Torvalds,False
linux,2018-02-18T20:38:40Z,Linus Torvalds,False
linux,2018-02-18T20:22:04Z,Linus Torvalds,False
linux,2018-02-18T19:54:22Z,Linus Torvalds,False
linux,2018-02-02T22:19:30Z,NeilBrown,False
linux,2018-02-02T22:13:19Z,Heinz Mauelshagen,False
linux,2018-01-24T04:17:38Z,Xiao Ni,False
linux,2018-01-19T03:37:56Z,Guoqing Jiang,False
linux,2018-01-13T08:49:03Z,Markus Elfring,False
linux,2018-01-17T13:38:02Z,Luis de Bethencourt,False
linux,2017-12-23T18:20:31Z,Aliaksei Karaliou,False
linux,2018-02-17T18:20:47Z,Linus Torvalds,False
linux,2018-02-17T18:08:28Z,Linus Torvalds,False
linux,2018-02-17T18:06:13Z,Linus Torvalds,False
linux,2018-02-17T17:48:26Z,Linus Torvalds,False
linux,2018-02-17T17:46:18Z,Linus Torvalds,False
linux,2018-02-17T17:16:09Z,Linus Torvalds,False
linux,2018-02-15T14:02:53Z,Stefan Windfeldt-Prytz,False
linux,2018-02-14T14:43:00Z,Lars-Peter Clausen,False
linux,2018-02-14T17:59:24Z,Dominik Brodowski,False
linux,2018-02-14T17:59:23Z,Dominik Brodowski,False
linux,2018-02-14T18:28:24Z,Stefano Stabellini,False
linux,2018-02-14T18:28:23Z,Stefano Stabellini,False
linux,2018-02-07T23:49:23Z,Prarit Bhargava,False
linux,2018-02-02T17:42:33Z,Joao Martins,False
linux,2018-02-16T17:04:23Z,Robin Murphy,False
linux,2018-02-16T11:26:40Z,Borislav Petkov,False
linux,2018-02-16T11:26:39Z,Borislav Petkov,False
linux,2018-02-16T11:26:38Z,Borislav Petkov,False
linux,2018-02-16T21:20:54Z,Dan Williams,False
linux,2018-02-16T21:20:48Z,Rasmus Villemoes,False
linux,2018-02-16T21:20:42Z,Dan Williams,False
linux,2018-02-15T00:12:54Z,Max Filippov,False
linux,2018-02-11T09:38:28Z,Lukas Wunner,False
linux,2018-02-11T09:38:28Z,Lukas Wunner,False
linux,2018-02-16T09:18:33Z,Xin Long,False
linux,2018-02-11T09:38:28Z,Lukas Wunner,False
linux,2018-02-14T05:41:25Z,Lukas Wunner,False
linux,2018-02-11T09:38:28Z,Lukas Wunner,False
linux,2018-02-15T22:59:00Z,David Howells,False
linux,2018-02-15T22:47:15Z,Eric Dumazet,False
linux,2018-02-15T17:18:43Z,Alexey Kodanev,False
linux,2018-02-16T20:52:42Z,David S. Miller,False
linux,2018-02-15T15:59:49Z,Paolo Abeni,False
linux,2018-02-15T14:33:18Z,Casey Leedom,False
linux,2018-02-15T12:50:01Z,Rahul Lakkireddy,False
linux,2018-02-15T12:46:57Z,Ganesh Goudar,False
linux,2018-02-16T20:22:33Z,Linus Torvalds,False
linux,2018-02-15T08:46:03Z,Stefano Brivio,False
linux,2018-02-14T23:45:07Z,Kees Cook,False
linux,2018-02-15T11:14:56Z,Will Deacon,False
linux,2018-02-16T15:25:53Z,Arnd Bergmann,False
linux,2018-02-16T17:31:37Z,Linus Torvalds,False
linux,2018-02-16T17:26:18Z,Linus Torvalds,False
linux,2018-02-16T17:23:36Z,Linus Torvalds,False
linux,2018-02-16T17:20:00Z,Linus Torvalds,False
linux,2018-02-15T02:43:36Z,Steve Wise,False
linux,2018-02-16T17:11:30Z,Linus Torvalds,False
linux,2018-02-16T17:08:59Z,Linus Torvalds,False
linux,2018-01-26T17:48:18Z,Liam Mark,False
linux,2018-02-04T02:06:27Z,Ben Hutchings,False
linux,2018-02-16T15:36:04Z,Arnd Bergmann,False
linux,2018-02-14T12:38:43Z,Leon Romanovsky,False
linux,2018-02-15T09:00:15Z,NeilBrown,False
linux,2018-02-16T14:47:26Z,Thomas Gleixner,False
linux,2018-02-14T15:47:35Z,Andy Shevchenko,False
linux,2018-02-12T02:18:12Z,Jaedon Shin,False
linux,2018-02-12T16:11:48Z,Eric Dumazet,False
linux,2018-01-22T15:06:16Z,Philipp Zabel,False
linux,2018-02-06T18:55:33Z,Marc Zyngier,False
linux,2018-02-01T17:03:29Z,Stephen Boyd,False
linux,2018-02-01T00:03:42Z,Shanker Donthineni,False
linux,2018-02-02T14:20:29Z,Mark Salter,False
linux,2018-02-05T16:45:36Z,Matt Redfearn,False
linux,2018-02-14T18:45:59Z,Colin Ian King,False
linux,2018-02-16T03:27:41Z,Nathan Fontenot,False
linux,2018-02-14T12:03:29Z,Tomas Winkler,False
linux,2018-02-16T08:47:15Z,Martijn Coenen,False
linux,2018-02-07T21:57:37Z,Todd Kjos,False
linux,2018-02-07T20:38:47Z,Todd Kjos,False
linux,2018-01-31T07:11:24Z,Eric Biggers,False
linux,2018-02-15T14:05:54Z,Robin Murphy,False
linux,2018-02-14T02:54:03Z,Michael Kelley,False
linux,2018-02-15T16:54:56Z,Matthew Whitehead,False
linux,2018-02-15T16:54:55Z,Matthew Whitehead,False
linux,2018-02-15T16:54:54Z,Matthew Whitehead,False
linux,2018-02-15T14:05:53Z,Robin Murphy,False
linux,2018-02-16T08:30:05Z,Greg Kroah-Hartman,False
linux,2018-01-09T23:51:24Z,Jessica Yu,False
linux,2018-01-09T23:51:23Z,Jessica Yu,False
linux,2018-02-16T08:10:09Z,Ingo Molnar,False
linux,2018-02-16T05:27:48Z,Dominik Bozek,False
linux,2018-02-16T00:10:29Z,Daniel Borkmann,False
linux,2018-02-16T04:26:01Z,Dave Airlie,False
linux,2018-02-07T17:40:27Z,Thierry Reding,False
linux,2018-02-16T02:33:03Z,Dave Airlie,False
linux,2018-02-16T02:30:41Z,Dave Airlie,False
linux,2018-02-15T22:50:32Z,Linus Torvalds,False
linux,2018-02-15T22:40:01Z,Linus Torvalds,False
linux,2018-02-15T20:36:46Z,Adit Ranadive,False
